Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00044.trk,,,,,,,
Object,0,,,,,,,
Samples,372,,,,,,,
id,59,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:14.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00044.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,30:30.7,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,31:45.1,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
318,63.4,5.71,91.01,368,152,w ext,39.12,1.05
319,63.6,5.65,89.95,344,120,w ext,39.72,1.06
320,63.8,4.68,88.82,296,208,w ext,41.14,1.49
321,64,4.55,86.7,308,220,w ext,42.36,2.13
322,64.2,5.25,83.59,312,284,w ext,43.47,3.18
323,64.4,6.92,81.7,412,292,w ext,43.26,2.53
324,64.6,8.37,76.69,460,344,w ext,45.48,5.21
325,64.8,10.71,71.93,504,340,w ext,47.35,5.3
326,65,12.86,65.21,492,380,w ext,51.41,7.06
327,65.2,15.88,58.86,512,428,w ext,55.05,7.03
328,65.4,18.87,52.68,528,424,w ext,59.16,6.86
329,65.6,21.74,45.63,532,452,w ext,64.61,7.62
330,65.8,23.77,39.39,488,444,w ext,69.92,6.56
331,66,23.97,32.45,456,432,w ext,76.55,6.94
332,66.2,24.34,27.55,376,376,w ext,81.2,4.91
333,66.4,24.11,25.42,328,232,w ext,83.33,2.14
334,66.6,25.03,25.83,352,128,w ext,82.72,1
335,66.8,25.94,26.23,296,160,w ext,82.13,1
336,67,24.92,24.76,356,236,w ext,83.78,1.79
337,67.2,24,24.35,380,128,w ext,84.39,1.01
338,67.4,24.11,25.42,352,116,w ext,83.33,1.08
339,67.6,24.11,25.42,368,96,w ext,83.33,0
340,67.8,23.31,26.08,336,104,w ext,82.87,1.04
341,68,23.42,27.15,360,136,w ext,81.81,1.08
342,68.2,22.61,27.82,372,236,w ext,81.37,1.05
343,68.4,22.84,29.95,396,304,w ext,79.25,2.14
344,68.6,22.25,32.75,352,204,w ext,76.71,2.86
345,68.8,23.37,35.23,372,236,w ext,74.03,2.72
346,69,25.38,38.01,400,212,w ext,70.81,3.43
347,69.2,28.33,42.05,380,228,w ext,66.17,5.01
348,69.4,32.09,46.23,472,316,west,61.26,5.62
349,69.6,35.82,51.17,492,300,west,55.69,6.19
350,69.8,39.45,55.86,528,380,west,50.51,5.93
351,70,43.89,62.29,528,392,west,43.75,7.81
352,70.2,47.37,68.18,548,364,west,37.81,6.83
353,70.4,50.73,73.77,592,452,west,32.39,6.52
354,70.6,54.76,79.98,596,492,west,26.92,7.42
355,70.8,57.92,86.56,632,524,west,21.58,7.3
356,71,59.47,92.02,700,564,west,17.58,5.67
